modelo,oponente,episodios,ganadas_entrenado,perdidas_entrenado,empates,porcentaje_victorias
trained_model_vs_Random_500_0.95_0.5_0.1_0.9950.0001_128_1000_100.pth,random,1000,946,54,0,0.946
trained_model_vs_Random_500_0.95_0.5_0.1_0.9950.0005_128_1000_100.pth,random,1000,849,151,0,0.849
trained_model_vs_Random_500_0.95_0.5_0.1_0.9950.001_128_1000_100.pth,random,1000,959,41,0,0.959
trained_model_vs_Random_500_0.95_0.8_0.1_0.9950.0001_128_1000_100.pth,random,1000,948,52,0,0.948
trained_model_vs_Random_500_0.95_0.8_0.1_0.9950.0005_128_1000_100.pth,random,1000,927,73,0,0.927
trained_model_vs_Random_500_0.95_0.8_0.1_0.9950.001_128_1000_100.pth,random,1000,901,99,0,0.901
trained_model_vs_Random_500_0.95_1.0_0.1_0.9950.0001_128_1000_100.pth,random,1000,912,87,1,0.912
trained_model_vs_Random_500_0.95_1.0_0.1_0.9950.0005_128_1000_100.pth,random,1000,901,99,0,0.901
trained_model_vs_Random_500_0.95_1.0_0.1_0.9950.001_128_1000_100.pth,random,1000,933,67,0,0.933
trained_model_vs_Random_500_0.99_0.5_0.1_0.9950.0001_128_1000_100.pth,random,1000,699,301,0,0.699
trained_model_vs_Random_500_0.99_0.5_0.1_0.9950.0005_128_1000_100.pth,random,1000,465,534,1,0.465
trained_model_vs_Random_500_0.99_0.5_0.1_0.9950.001_128_1000_100.pth,random,1000,496,502,2,0.496
trained_model_vs_Random_500_0.99_0.8_0.1_0.9950.0001_128_1000_100.pth,random,1000,822,178,0,0.822
trained_model_vs_Random_500_0.99_0.8_0.1_0.9950.0005_128_1000_100.pth,random,1000,344,655,1,0.344
trained_model_vs_Random_500_0.99_0.8_0.1_0.9950.001_128_1000_100.pth,random,1000,567,432,1,0.567
trained_model_vs_Random_500_0.99_1.0_0.1_0.9950.0001_128_1000_100.pth,random,1000,376,621,3,0.376
trained_model_vs_Random_500_0.99_1.0_0.1_0.9950.0005_128_1000_100.pth,random,1000,381,619,0,0.381
trained_model_vs_Random_500_0.99_1.0_0.1_0.9950.001_128_1000_100.pth,random,1000,494,506,0,0.494
trained_model_vs_Random_500_0.9_0.5_0.1_0.9950.0001_128_1000_100.pth,random,1000,934,66,0,0.934
trained_model_vs_Random_500_0.9_0.5_0.1_0.9950.0005_128_1000_100.pth,random,1000,921,79,0,0.921
trained_model_vs_Random_500_0.9_0.5_0.1_0.9950.001_128_1000_100.pth,random,1000,960,40,0,0.96
trained_model_vs_Random_500_0.9_0.8_0.1_0.9950.0001_128_1000_100.pth,random,1000,945,55,0,0.945
trained_model_vs_Random_500_0.9_0.8_0.1_0.9950.0005_128_1000_100.pth,random,1000,931,69,0,0.931
trained_model_vs_Random_500_0.9_0.8_0.1_0.9950.001_128_1000_100.pth,random,1000,942,58,0,0.942
trained_model_vs_Random_500_0.9_1.0_0.1_0.9950.0001_128_1000_100.pth,random,1000,892,108,0,0.892
trained_model_vs_Random_500_0.9_1.0_0.1_0.9950.0005_128_1000_100.pth,random,1000,946,54,0,0.946
trained_model_vs_Random_500_0.9_1.0_0.1_0.9950.001_128_1000_100.pth,random,1000,938,62,0,0.938
