modelo,alpha,gamma,epsilon_start,oponente_entrenamiento,oponente_evaluacion,episodios_eval,ganadas,perdidas,empates,porcentaje_victorias
trained_model_vs_Defensor_1000_0.99_1.0_0.1_0.9950.005_128_1000_100,0.005,0.99,1.0,Defensor,random,1000,879,121,0,0.879
trained_model_vs_None_1000_0.99_0.9_0.1_0.9950.005_128_1000_100,0.005,0.99,0.9,None,random,1000,702,298,0,0.702
trained_model_vs_Random_1000_0.99_0.9_0.1_0.9950.005_128_1000_100,0.005,0.99,0.9,Random,random,1000,792,208,0,0.792
trained_model_vs_Defensor_1000_0.99_0.9_0.1_0.9950.005_128_1000_100,0.005,0.99,0.9,Defensor,random,1000,841,159,0,0.841
trained_model_vs_None_1000_0.99_0.8_0.1_0.9950.005_128_1000_100,0.005,0.99,0.8,None,random,1000,874,126,0,0.874
trained_model_vs_Random_1000_0.99_0.8_0.1_0.9950.005_128_1000_100,0.005,0.99,0.8,Random,random,1000,808,192,0,0.808
trained_model_vs_Defensor_1000_0.99_0.8_0.1_0.9950.005_128_1000_100,0.005,0.99,0.8,Defensor,random,1000,822,178,0,0.822
trained_model_vs_None_1000_0.99_0.7_0.1_0.9950.005_128_1000_100,0.005,0.99,0.7,None,random,1000,838,162,0,0.838
trained_model_vs_Random_1000_0.99_0.7_0.1_0.9950.005_128_1000_100,0.005,0.99,0.7,Random,random,1000,655,345,0,0.655
trained_model_vs_Defensor_1000_0.99_0.7_0.1_0.9950.005_128_1000_100,0.005,0.99,0.7,Defensor,random,1000,842,158,0,0.842
trained_model_vs_None_1000_0.9_1.0_0.1_0.9950.001_128_1000_100,0.001,0.9,1.0,None,random,1000,780,220,0,0.78
trained_model_vs_Random_1000_0.9_1.0_0.1_0.9950.001_128_1000_100,0.001,0.9,1.0,Random,random,1000,826,174,0,0.826
trained_model_vs_Defensor_1000_0.9_1.0_0.1_0.9950.001_128_1000_100,0.001,0.9,1.0,Defensor,random,1000,860,140,0,0.86
trained_model_vs_None_1000_0.9_0.9_0.1_0.9950.001_128_1000_100,0.001,0.9,0.9,None,random,1000,715,285,0,0.715
trained_model_vs_Random_1000_0.9_0.9_0.1_0.9950.001_128_1000_100,0.001,0.9,0.9,Random,random,1000,746,254,0,0.746
trained_model_vs_Defensor_1000_0.9_0.9_0.1_0.9950.001_128_1000_100,0.001,0.9,0.9,Defensor,random,1000,737,263,0,0.737
